frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
140,2736,4096,12,3890280,5,0,0,0,3.400,0.000
141,2736,4096,12,3890280,5,0,0,0,3.400,0.000
142,2736,4096,12,3890280,5,0,0,0,3.400,0.000
143,2736,4096,12,3890280,5,0,0,0,3.400,0.000
144,2736,4096,12,3890280,5,0,0,0,3.400,0.000
145,2736,4096,12,3890280,5,0,0,0,3.400,0.000
146,2736,4096,12,3890280,5,0,0,0,3.400,0.000
147,2736,4096,12,3890280,5,0,0,0,3.400,0.000
148,2736,4096,12,3890280,5,0,0,0,3.400,0.000
149,2736,4096,12,3890280,5,0,0,0,3.400,0.000
150,2736,4096,12,3890280,5,0,0,0,3.400,0.000
151,2736,4096,12,3890280,5,0,0,0,3.400,0.000
152,2736,4096,12,3890280,5,0,0,0,3.400,0.000
153,2736,4096,12,3890280,5,0,0,0,3.400,0.000
154,2736,4096,12,3890280,5,0,0,0,3.400,0.000
155,2736,4096,12,3890280,5,0,0,0,3.400,0.000
156,2736,4096,12,3890280,5,0,0,0,3.400,0.000
157,2736,4096,12,3890280,5,0,0,0,3.400,0.000
158,2736,4096,12,3890280,5,0,0,0,3.400,0.000
159,2736,4096,12,3890280,5,0,0,0,3.400,0.000
160,2736,4096,12,3890280,5,0,0,0,3.400,0.000
161,2736,4096,12,3890280,5,0,0,0,3.400,0.000
162,2736,4096,12,3890280,5,0,0,0,3.400,0.000
163,2736,4096,12,3890280,5,0,0,0,3.400,0.000
164,2736,4096,12,3890280,5,0,0,0,3.400,0.000
165,2736,4096,12,3890280,5,0,0,0,3.400,0.000
166,2736,4096,12,3890280,5,0,0,0,3.400,0.000
167,2736,4096,12,3890280,5,0,0,0,3.400,0.000
168,2736,4096,12,3890280,5,0,0,0,3.400,0.000
169,2736,4096,12,3890280,5,0,0,0,3.400,0.000
170,2736,4096,12,3890280,5,0,0,0,3.400,0.000
171,2736,4096,12,3890280,5,0,0,0,3.400,0.000
172,2736,4096,12,3890280,5,0,0,0,3.400,0.000
173,2736,4096,12,3890280,5,0,0,0,3.400,0.000
174,2736,4096,12,3890280,5,0,0,0,3.400,0.000
175,2736,4096,12,3890280,5,0,0,0,3.400,0.000
176,2736,4096,12,3890280,5,0,0,0,3.400,0.000
177,2736,4096,12,3890280,5,0,0,0,3.400,0.000
