frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
1918,2736,4096,3946,7447266,1073,0,0,0,289.200,0.000
1919,2736,4096,3952,7449816,1075,0,0,0,289.400,0.000
1920,2736,4096,3958,7452366,1077,0,0,0,289.700,0.000
1921,2736,4096,3964,7454916,1079,0,0,0,289.900,0.000
1922,2736,4096,3970,7457466,1081,0,0,0,290.100,0.000
1923,2736,4096,3976,7460016,1083,0,0,0,290.500,0.000
1924,2736,4096,3982,7462566,1085,0,0,0,290.700,0.000
1925,2736,4096,3988,7465116,1087,0,0,0,291.000,0.000
1926,2736,4096,3994,7467666,1089,0,0,0,291.300,0.000
1927,2736,4096,4000,7470216,1091,0,0,0,291.700,0.000
1928,2736,4096,4006,7472766,1093,0,0,0,292.100,0.000
1929,2736,4096,4012,7475316,1095,0,0,0,292.300,0.000
1930,2736,4096,4018,7477866,1097,0,0,0,292.500,0.000
1931,2736,4096,4024,7480416,1099,0,0,0,292.900,0.000
1932,2736,4096,4030,7482966,1101,0,0,0,293.200,0.000
1933,2736,4096,4036,7485516,1103,0,0,0,293.400,0.000
1934,2736,4096,4042,7488066,1105,0,0,0,293.700,0.000
1935,2736,4096,4048,7490616,1107,0,0,0,294.300,0.000
1936,2736,4096,4054,7493166,1109,0,0,0,294.600,0.000
1937,2736,4096,4060,7495716,1111,0,0,0,294.900,0.000
1938,2736,4096,4066,7498266,1113,0,0,0,295.100,0.000
1939,2736,4096,4072,7500816,1115,0,0,0,295.300,0.000
1940,2736,4096,4078,7503366,1117,0,0,0,295.600,0.000
1941,2736,4096,4084,7505916,1119,0,0,0,295.900,0.000
1942,2736,4096,4090,7508466,1121,0,0,0,296.300,0.000
1943,2736,4096,4096,7511016,1123,0,0,0,296.600,0.000
1944,2736,4096,4102,7513566,1125,0,0,0,296.800,0.000
1945,2736,4096,4109,7516116,1127,0,0,0,297.200,0.000
1946,2736,4096,4115,7518666,1129,0,0,0,297.400,0.000
1947,2736,4096,4121,7521216,1131,0,0,0,297.700,0.000
1948,2736,4096,4127,7523766,1133,0,0,0,298.000,0.000
1949,2736,4096,4133,7526316,1135,0,0,0,298.200,0.000
1950,2736,4096,4139,7528866,1137,0,0,0,298.400,0.000
1951,2736,4096,4146,7531416,1139,0,0,0,299.000,0.000
1952,2736,4096,4152,7533966,1141,0,0,0,299.200,0.000
1953,2736,4096,4158,7536516,1143,0,0,0,299.500,0.000
1954,2736,4096,4164,7539066,1145,0,0,0,300.400,0.000
1955,2736,4096,4170,7541616,1147,0,0,0,300.700,0.000
1956,2736,4096,4176,7544166,1149,0,0,0,300.900,0.000
1957,2736,4096,4182,7546716,1151,0,0,0,301.100,0.000
1958,2736,4096,4188,7549266,1153,0,0,0,301.400,0.000
1959,2736,4096,4194,7551816,1155,0,0,0,301.700,0.000
1960,2736,4096,4200,7554366,1157,0,0,0,302.000,0.000
1961,2736,4096,4206,7556916,1159,0,0,0,302.200,0.000
1962,2736,4096,4212,7559466,1161,0,0,0,302.500,0.000
1963,2736,4096,4218,7562016,1163,0,0,0,302.900,0.000
1964,2736,4096,4224,7564566,1165,0,0,0,303.400,0.000
1965,2736,4096,4230,7567116,1167,0,0,0,303.600,0.000
1966,2736,4096,4236,7569666,1169,0,0,0,304.000,0.000
1967,2736,4096,4242,7572216,1171,0,0,0,304.400,0.000
1968,2736,4096,4248,7574766,1173,0,0,0,304.600,0.000
1969,2736,4096,4254,7577316,1175,0,0,0,304.900,0.000
1970,2736,4096,4260,7579866,1177,0,0,0,305.200,0.000
1971,2736,4096,4266,7582416,1179,0,0,0,305.600,0.000
1972,2736,4096,4272,7584966,1181,0,0,0,305.900,0.000
1973,2736,4096,4278,7587516,1183,0,0,0,306.100,0.000
1974,2736,4096,4284,7590066,1185,0,0,0,306.500,0.000
1975,2736,4096,4290,7592616,1187,0,0,0,307.000,0.000
1976,2736,4096,4296,7595166,1189,0,0,0,307.400,0.000
1977,2736,4096,4302,7597716,1191,0,0,0,307.700,0.000
1978,2736,4096,4308,7600266,1193,0,0,0,307.900,0.000
1979,2736,4096,4314,7602816,1195,0,0,0,308.100,0.000
1980,2736,4096,4320,7605366,1197,0,0,0,308.300,0.000
1981,2736,4096,4326,7607916,1199,0,0,0,308.700,0.000
1982,2736,4096,4332,7610466,1201,0,0,0,309.000,0.000
1983,2736,4096,4338,7613016,1203,0,0,0,309.200,0.000
1984,2736,4096,4344,7615566,1205,0,0,0,309.400,0.000
