run,frame,generation,stage_us
private-material5072-on3,3589,86,1712.600
private-material5072-on3,3590,87,1251.300
private-material5072-on3,3591,88,1241.000
private-material5072-on3,3592,89,1235.200
private-material5072-on3,3593,90,1514.600
private-material5072-on3,3594,91,1537.500
private-material5072-on3,3595,92,1286.100
private-material5072-on3,3596,93,1330.400
private-material5072-on3,3597,94,1819.900
private-material5072-on3,3598,95,1397.800
private-material5072-on3,3599,96,1245.100
private-material5072-on3,3600,97,1237.200
private-material5072-on3,3601,98,1546.300
private-material5072-on3,3602,99,1432.500
private-material5072-on3,3603,100,1288.200
private-material5072-on3,3604,101,1235.100
private-material5072-on3,3605,102,1232.100
private-material5072-on3,3606,103,1747.500
private-material5072-on3,3607,104,1353.800
private-material5072-on3,3608,105,1275.100
private-material5072-on3,3609,106,1226.300
private-material5072-on3,3610,107,1266.400
private-material5072-on3,3611,108,1703.800
private-material5072-on3,3612,109,1276.500
private-material5072-on3,3613,110,1256.100
private-material5072-on3,3614,111,1248.200
private-material5072-on3,3615,112,1373.200
private-material5072-on3,3616,113,1331.900
private-material5072-on3,3617,114,1668.400
private-material5072-on3,3618,115,1354.600
private-material5072-on3,3619,116,1228.000
private-material5072-on3,3620,117,1311.000
private-material5072-on3,3621,118,1332.300
private-material5072-on3,3622,119,1273.000
private-material5072-on3,3623,120,1463.200
private-material5072-on3,3624,121,1362.200
private-material5072-on3,3625,122,1251.900
private-material5072-on3,3626,123,1342.200
private-material5072-on3,3627,124,1859.900
private-material5072-on3,3628,125,1306.000
private-material5072-on3,3629,126,1230.100
private-material5072-on3,3630,127,1407.900
private-material5072-on3,3631,128,1298.300
private-material5072-on3,3632,129,1624.300
private-material5072-on3,3633,130,1572.400
private-material5072-on3,3634,131,1267.100
private-material5072-on3,3635,132,1342.200
private-material5072-on3,3636,133,1423.200
private-material5072-on3,3637,134,1527.800
private-material5072-on3,3638,135,1231.800
private-material5072-on3,3639,136,1302.300
private-material5072-on3,3640,137,1472.300
private-material5072-on3,3641,138,1631.000
private-material5072-on3,3642,139,1376.200
private-material5072-on3,3643,140,1378.600
private-material5072-on3,3644,141,1390.200
private-material5072-on3,3645,142,1237.500
private-material5072-on3,3646,143,2081.100
private-material5072-on3,3647,144,1269.200
private-material5072-on3,3648,145,1273.300
private-material5072-on3,3650,146,1303.200
private-material5072-on3,3651,147,1265.000
private-material5072-on3,3652,148,1947.700
private-material5072-on3,3653,149,1323.000
private-material5072-on3,3654,150,1281.800
private-material5072-on3,3655,151,1346.500
private-material5072-on3,3656,152,1252.900
private-material5072-on3,3657,153,1604.200
private-material5072-on3,3658,154,1451.500
private-material5072-on3,3659,155,1263.700
private-material5072-on3,3660,156,1295.000
private-material5072-on3,3661,157,1504.500
private-material5072-on3,3662,158,1263.200
private-material5072-on3,3663,159,1260.600
private-material5072-on3,3664,160,1314.400
private-material5072-on3,3665,161,1344.400
private-material5072-on3,3666,162,1265.200
private-material5072-on3,3667,163,1688.900
private-material5072-on3,3668,164,1269.400
private-material5072-on3,3669,165,1286.700
private-material5072-on3,3670,166,1309.700
private-material5072-on3,3671,167,1286.500
private-material5072-on3,3672,168,1237.400
private-material5072-on3,3673,169,1341.800
private-material5072-on3,3674,170,1250.000
private-material5072-on3,3675,171,1688.400
private-material5072-on3,3676,172,1266.000
private-material5072-on3,3677,173,1302.100
private-material5072-on3,3678,174,1274.300
private-material5072-on3,3679,175,1327.100
private-material5072-on3,3680,176,1989.400
private-material5072-on3,3681,177,1247.300
private-material5072-on3,3682,178,1285.800
private-material5072-on3,3683,179,1261.900
private-material5072-on3,3684,180,1277.100
private-material5072-on3,3685,181,1247.600
private-material5072-on3,3686,182,1508.800
private-material5072-on3,3687,183,1545.900
private-material5072-on3,3688,184,1250.400
private-material5072-on3,3689,185,1252.400
private-material5072-on3,3690,186,1243.500
private-material5072-on3,3691,187,1526.000
private-material5072-on3,3692,188,1514.700
private-material5072-on3,3693,189,1382.900
private-material5072-on3,3694,190,1271.400
private-material5072-on3,3695,191,1335.000
private-material5072-on3,3696,192,1229.300
private-material5072-on3,3697,193,1227.600
private-material5072-on3,3698,194,1711.500
private-material5072-on3,3699,195,1300.400
private-material5072-on3,3700,196,1298.000
private-material5072-on3,3701,197,1433.400
private-material5072-on3,3702,198,1811.300
private-material5072-on3,3703,199,2010.100
private-material5072-on3,3704,200,1381.400
private-material5072-on3,3705,201,1263.500
private-material5072-on3,3706,202,1316.600
private-material5072-on3,3707,203,1807.400
private-material5072-on3,3708,204,1234.500
private-material5072-on3,3709,205,1257.900
private-material5072-on3,3710,206,1230.800
private-material5072-on3,3711,207,1427.100
private-material5072-on3,3712,208,1494.400
private-material5072-on3,3714,209,1415.200
private-material5072-on3,3715,210,1242.000
private-material5072-on3,3716,211,1293.200
private-material5072-on3,3717,212,1302.900
private-material5072-on3,3718,213,1223.100
private-material5072-on3,3719,214,1723.600
private-material5072-on3,3720,215,1275.500
private-material5072-on3,3721,216,1318.300
private-material5072-on3,3722,217,1277.500
private-material5072-on3,3723,218,1304.600
private-material5072-on3,3724,219,1665.900
private-material5072-on3,3725,220,1235.100
private-material5072-on3,3726,221,1237.800
private-material5072-on3,3727,222,1244.100
private-material5072-on3,3728,223,1240.200
private-material5072-on3,3729,224,1232.200
private-material5072-on3,3730,225,1910.900
private-material5072-on3,3731,226,1241.100
private-material5072-on3,3732,227,1232.600
private-material5072-on3,3733,228,1233.000
private-material5072-on3,3734,229,1246.200
private-material5072-on3,3735,230,1259.800
private-material5072-on3,3736,231,1791.200
private-material5072-on3,3737,232,1298.400
private-material5072-on3,3738,233,1212.600
private-material5072-on3,3739,234,1212.900
private-material5072-on3,3740,235,1238.500
private-material5072-on3,3741,236,1374.000
private-material5072-on3,3742,237,1264.700
private-material5072-on3,3743,238,1504.000
private-material5072-on3,3744,239,1302.900
private-material5072-on3,3745,240,1553.100
private-material5072-on3,3746,241,1389.100
private-material5072-on3,3747,242,1228.300
private-material5072-on3,3748,243,1247.900
private-material5072-on3,3749,244,1593.300
private-material5072-on3,3750,245,1284.700
private-material5072-on3,3751,246,1328.300
private-material5072-on3,3752,247,1529.400
private-material5072-on3,3753,248,1337.000
private-material5072-on3,3754,249,1250.700
private-material5072-on3,3755,250,1268.300
private-material5072-on3,3756,251,2071.900
private-material5072-on3,3757,252,1535.500
private-material5072-on3,3758,253,1377.100
private-material5072-on3,3759,254,1351.400
private-material5072-on3,3760,255,1449.100
private-material5072-on3,3761,256,1826.400
private-material5072-on3,3762,257,1428.600
private-material5072-on3,3763,258,1246.800
private-material5072-on3,3764,259,1344.600
private-material5072-on3,3765,260,1257.200
private-material5072-on3,3766,261,1228.200
private-material5072-on3,3767,262,1238.800
private-material5072-on3,3768,263,1271.600
private-material5072-on3,3769,264,1966.000
private-material5072-on3,3770,265,1247.200
private-material5072-on3,3771,266,1273.200
private-material5072-on3,3772,267,1711.900
private-material5072-on3,3773,268,1249.900
private-material5072-on3,3774,269,1692.600
private-material5072-on3,3775,270,1253.500
private-material5072-on3,3776,271,1301.200
private-material5072-on3,3777,272,1256.400
private-material5072-on3,3778,273,1376.100
private-material5072-on3,3779,274,1886.700
private-material5072-on3,3780,275,1260.200
private-material5072-on3,3781,276,1330.800
private-material5072-on3,3782,277,1224.800
private-material5072-on3,3783,278,1315.100
private-material5072-on3,3784,279,1768.400
private-material5072-on3,3785,280,1306.900
private-material5072-on3,3786,281,1480.100
private-material5072-on3,3787,282,1325.300
private-material5072-on3,3788,283,1310.700
private-material5072-on3,3789,284,1724.400
private-material5072-on3,3790,285,1267.800
private-material5072-on3,3791,286,1260.900
private-material5072-on3,3792,287,1275.400
private-material5072-on3,3793,288,1252.600
private-material5072-on3,3794,289,1645.500
private-material5072-on3,3795,290,1339.600
private-material5072-on3,3796,291,1332.800
private-material5072-on3,3797,292,1419.100
private-material5072-on3,3798,293,1536.500
private-material5072-on3,3800,294,1778.300
private-material5072-on3,3801,295,1478.400
private-material5072-on3,3802,296,1282.700
private-material5072-on3,3803,297,1440.600
private-material5072-on3,3804,298,2019.600
private-material5072-on3,3805,299,1473.000
private-material5072-on3,3807,300,1420.800
private-material5072-on3,3808,301,1657.300
private-material5072-on3,3809,302,1794.000
private-material5072-on3,3810,303,1544.400
private-material5072-on3,3811,304,1438.000
private-material5072-on3,3812,305,1471.100
private-material5072-on3,3813,306,2157.100
private-material5072-on3,3814,307,1476.300
private-material5072-on3,3815,308,1804.000
private-material5072-on3,3816,309,1935.600
private-material5072-on3,3817,310,1398.800
private-material5072-on3,3818,311,1536.300
private-material5072-on3,3819,312,1436.700
private-material5072-on3,3820,313,1841.600
private-material5072-on3,3821,314,1367.300
private-material5072-on3,3822,315,1244.100
private-material5072-on3,3823,316,1316.100
private-material5072-on3,3824,317,1232.500
private-material5072-on3,3825,318,1707.100
private-material5072-on3,3826,319,1280.400
private-material5072-on3,3827,320,1221.100
private-material5072-on3,3828,321,1774.200
private-material5072-on3,3829,322,1343.200
private-material5072-on3,3830,323,1333.300
private-material5072-on3,3831,324,1331.800
private-material5072-on3,3832,325,1240.100
private-material5072-on3,3833,326,1265.600
private-material5072-on3,3834,327,1749.400
private-material5072-on3,3835,328,1231.300
private-material5072-on3,3836,329,1265.000
private-material5072-on3,3837,330,1346.600
private-material5072-on3,3838,331,1776.700
private-material5072-on3,3839,332,1251.900
private-material5072-on3,3840,333,1368.900
private-material5072-on3,3841,334,1622.600
private-material5072-on3,3842,335,1248.900
private-material5072-on3,3843,336,1342.000
private-material5072-on3,3844,337,1285.700
private-material5072-on3,3845,338,1822.900
private-material5072-on3,3846,339,1496.800
private-material5072-on3,3847,340,1245.200
private-material5072-on3,3848,341,1279.500
private-material5072-on3,3849,342,1387.400
private-material5072-on3,3850,343,1626.700
private-material5072-on3,3851,344,1374.000
private-material5072-on3,3852,345,1248.800
private-material5072-on3,3853,346,1676.000
private-material5072-on3,3854,347,1398.600
private-material5072-on3,3855,348,1440.800
private-material5072-on3,3856,349,1257.200
private-material5072-on3,3857,350,1692.400
private-material5072-on3,3858,351,1252.800
private-material5072-on3,3859,352,1282.100
private-material5072-on3,3860,353,1485.500
private-material5072-on3,3861,354,1702.900
private-material5072-on3,3862,355,1319.400
private-material5072-on3,3863,356,1493.200
private-material5072-on3,3864,357,1302.000
private-material5072-on3,3865,358,1657.000
private-material5072-on3,3866,359,1346.100
private-material5072-on3,3867,360,1253.900
private-material5072-on3,3868,361,1289.000
private-material5072-on3,3869,362,1872.300
private-material5072-on3,3870,363,1388.600
private-material5072-on3,3871,364,1597.400
private-material5072-on3,3872,365,2003.500
private-material5072-on3,3873,366,1373.200
private-material5072-on3,3874,367,1360.300
private-material5072-on3,3875,368,1248.100
private-material5072-on3,3876,369,1617.900
private-material5072-on3,3877,370,1377.900
private-material5072-on3,3878,371,1420.500
private-material5072-on3,3879,372,1233.700
private-material5072-on3,3880,373,1623.200
private-material5072-on3,3881,374,1252.700
private-material5072-on3,3882,375,1280.200
private-material5072-on3,3883,376,1252.000
private-material5072-on3,3884,377,1632.700
private-material5072-on3,3885,378,1235.400
private-material5072-on3,3886,379,1348.100
private-material5072-on3,3887,380,1288.800
private-material5072-on3,3888,381,1690.100
private-material5072-on3,3889,382,1538.000
private-material5072-on3,3890,383,1276.000
private-material5072-on3,3891,384,1231.600
private-material5072-on3,3892,385,1620.200
private-material5072-on3,3893,386,1275.600
private-material5072-on3,3894,387,1368.000
private-material5072-on3,3895,388,1511.700
private-material5072-on3,3896,389,1643.000
private-material5072-on3,3897,390,1330.400
private-material5072-on3,3898,391,1397.000
private-material5072-on3,3899,392,1230.400
private-material5072-on3,3900,393,1732.900
private-material5072-on3,3901,394,1815.500
private-material5072-on3,3902,395,1261.200
private-material5072-on3,3903,396,1251.600
private-material5072-on3,3904,397,1801.200
private-material5072-on3,3905,398,1237.700
private-material5072-on3,3906,399,1246.700
private-material5072-on3,3907,400,1269.900
private-material5072-on3,3908,401,1301.600
private-material5072-on3,3910,402,1323.600
private-material5072-on3,3911,403,1279.600
private-material5072-on3,3912,404,1284.800
private-material5072-on3,3913,405,1386.100
private-material5072-on3,3914,406,1706.900
private-material5072-on3,3915,407,1401.100
private-material5072-on3,3916,408,1250.000
private-material5072-on3,3917,409,1390.900
private-material5072-on3,3918,410,1349.700
private-material5072-on3,3919,411,1863.400
private-material5072-on3,3920,412,1243.000
private-material5072-on3,3921,413,1314.300
private-material5072-on3,3922,414,1291.000
private-material5072-on3,3923,415,1676.700
private-material5072-on3,3924,416,1235.400
private-material5072-on3,3925,417,1269.400
private-material5072-on3,3926,418,1382.400
private-material5072-on3,3927,419,1517.300
private-material5072-on3,3928,420,1416.900
private-material5072-on3,3929,421,1355.600
private-material5072-on3,3930,422,1418.900
private-material5072-on3,3931,423,1451.600
private-material5072-on3,3932,424,1631.200
private-material5072-on3,3933,425,1247.900
private-material5072-on3,3934,426,1261.300
private-material5072-on3,3935,427,1274.100
private-material5072-on3,3936,428,1248.500
private-material5072-on3,3937,429,1589.600
private-material5072-on3,3938,430,1369.100
private-material5072-on3,3939,431,1226.500
private-material5072-on3,3940,432,1273.000
private-material5072-on3,3941,433,1329.100
private-material5072-on3,3942,434,1584.000
private-material5072-on3,3943,435,1307.000
private-material5072-on3,3944,436,1358.600
private-material5072-on3,3945,437,1344.900
private-material5072-on3,3946,438,1788.100
private-material5072-on3,3947,439,1214.200
private-material5072-on3,3948,440,1317.500
private-material5072-on3,3949,441,1279.600
private-material5072-on3,3950,442,1599.900
private-material5072-on3,3951,443,1440.500
private-material5072-on3,3952,444,1237.300
private-material5072-on3,3953,445,1340.400
private-material5072-on3,3954,446,1237.300
private-material5072-on3,3955,447,1822.800
private-material5072-on3,3956,448,1232.100
private-material5072-on3,3957,449,1227.900
private-material5072-on3,3958,450,1283.600
private-material5072-on3,3959,451,1383.400
private-material5072-on3,3960,452,1369.500
private-material5072-on3,3961,453,1249.800
private-material5072-on3,3962,454,1234.000
private-material5072-on3,3963,455,1235.600
private-material5072-on3,3964,456,1581.600
private-material5072-on3,3965,457,1336.300
private-material5072-on3,3966,458,1235.900
private-material5072-on3,3967,459,1274.800
private-material5072-on3,3968,460,1321.800
private-material5072-on3,3969,461,1546.200
private-material5072-on3,3970,462,1278.100
private-material5072-on3,3971,463,1286.300
private-material5072-on3,3972,464,1236.700
private-material5072-on3,3973,465,1261.100
private-material5072-on3,3974,466,1379.400
private-material5072-on3,3975,467,1572.100
private-material5072-on3,3976,468,1293.500
private-material5072-on3,3977,469,1286.300
private-material5072-on3,3978,470,1302.400
private-material5072-on3,3979,471,1377.700
private-material5072-on3,3980,472,1243.500
private-material5072-on3,3981,473,1634.900
private-material5072-on3,3982,474,1472.600
private-material5072-on3,3983,475,1260.800
private-material5072-on3,3984,476,1288.100
private-material5072-on3,3985,477,1323.000
private-material5072-on3,3986,478,1921.500
private-material5072-on3,3987,479,1397.500
private-material5072-on3,3988,480,1390.900
private-material5072-on3,3989,481,1536.200
private-material5072-on3,3990,482,1348.900
private-material5072-on3,3991,483,1510.500
private-material5072-on3,3992,484,1252.500
private-material5072-on3,3993,485,1519.900
private-material5072-on3,3994,486,1273.800
private-material5072-on3,3995,487,1340.500
private-material5072-on3,3996,488,1790.200
private-material5072-on3,3997,489,1229.900
private-material5072-on3,3998,490,1239.900
private-material5072-on3,3999,491,1281.000
private-material5072-on3,4000,492,1237.200
private-material5072-on3,4001,493,1223.600
private-material5072-on3,4002,494,1429.500
private-material5072-on3,4003,495,1762.500
private-material5072-on3,4004,496,1273.900
private-material5072-on3,4005,497,1233.500
private-material5072-on3,4006,498,1251.800
private-material5072-on3,4007,499,1587.300
private-material5072-on3,4008,500,1687.700
private-material5072-on3,4009,501,1225.300
private-material5072-on3,4010,502,1230.500
private-material5072-on3,4011,503,1234.100
private-material5072-on3,4012,504,1368.200
private-material5072-on3,4013,505,1286.700
private-material5072-on3,4014,506,1536.100
private-material5072-on3,4015,507,1238.900
private-material5072-on3,4016,508,1239.500
private-material5072-on3,4017,509,1282.500
private-material5072-on3,4018,510,1353.100
private-material5072-on3,4019,511,1507.900
private-material5072-on3,4020,512,1523.600
private-material5072-on3,4021,513,1257.000
private-material5072-on3,4022,514,1235.700
private-material5072-on3,4023,515,1249.500
private-material5072-on3,4024,516,1631.600
private-material5072-on3,4025,517,1257.100
private-material5072-on3,4026,518,1263.600
private-material5072-on3,4027,519,1247.300
private-material5072-on3,4028,520,1595.100
private-material5072-on3,4029,521,1842.000
private-material5072-on3,4030,522,1242.600
private-material5072-on3,4031,523,1278.100
private-material5072-on3,4032,524,1346.700
private-material5072-on3,4033,525,1632.700
private-material5072-on3,4034,526,1766.500
private-material5072-on3,4035,527,1273.100
private-material5072-on3,4036,528,1350.200
private-material5072-on3,4037,529,1231.100
private-material5072-on3,4038,530,1474.100
private-material5072-on3,4039,531,1456.500
private-material5072-on3,4040,532,1290.100
private-material5072-on3,4041,533,1313.500
private-material5072-on3,4042,534,1228.800
private-material5072-on3,4043,535,1344.300
private-material5072-on3,4044,536,1374.500
private-material5072-on3,4045,537,1759.300
private-material5072-on3,4046,538,1456.100
private-material5072-on3,4047,539,1503.500
private-material5072-on3,4048,540,1562.600
private-material5072-on3,4049,541,1864.600
private-material5072-on3,4050,542,1393.000
private-material5072-on3,4051,543,1295.600
private-material5072-on3,4052,544,1299.900
private-material5072-on3,4053,545,1405.900
private-material5072-on3,4054,546,1381.200
private-material5072-on3,4055,547,1468.100
private-material5072-on3,4056,548,1731.000
private-material5072-on3,4057,549,1402.400
private-material5072-on3,4058,550,1622.100
private-material5072-on3,4059,551,1484.500
private-material5072-on3,4060,552,1957.500
private-material5072-on3,4061,553,1319.600
private-material5072-on3,4062,554,1313.500
private-material5072-on3,4063,555,1283.800
private-material5072-on3,4064,556,1428.400
private-material5072-on3,4065,557,1285.800
private-material5072-on3,4066,558,1672.900
private-material5072-on3,4067,559,1279.000
private-material5072-on3,4068,560,1383.200
private-material5072-on3,4069,561,1268.300
private-material5072-on3,4070,562,1280.300
private-material5072-on3,4071,563,1287.500
private-material5072-on3,4072,564,1567.200
private-material5072-on3,4073,565,1900.500
private-material5072-on3,4074,566,1293.300
private-material5072-on3,4075,567,1274.200
private-material5072-on3,4076,568,1487.000
private-material5072-on3,4077,569,1298.200
private-material5072-on3,4078,570,1733.400
private-material5072-on3,4079,571,1309.100
private-material5072-on3,4080,572,1289.000
private-material5072-on3,4081,573,1280.800
private-material5072-on3,4082,574,1233.800
private-material5072-on3,4083,575,1368.800
private-material5072-on3,4084,576,1695.400
private-material5072-on3,4085,577,1284.600
private-material5072-on3,4086,578,1289.200
private-material5072-on3,4087,579,1287.300
private-material5072-on3,4088,580,1514.600
private-material5072-on3,4089,581,1507.500
private-material5072-on3,4090,582,1654.600
private-material5072-on3,4091,583,1789.800
private-material5072-on3,4092,584,1478.800
private-material5072-on3,4093,585,1234.900
private-material5072-on3,4094,586,1233.200
private-material5072-on3,4095,587,1217.200
private-material5072-on3,4096,588,1847.800
private-material5072-on3,4097,589,1289.600
private-material5072-on3,4098,590,1624.200
private-material5072-on3,4099,591,1225.700
private-material5072-on3,4100,592,1248.600
private-material5072-on3,4101,593,1293.500
private-material5072-on3,4102,594,1267.600
private-material5072-on3,4103,595,1282.200
private-material5072-on3,4104,596,1485.500
private-material5072-on3,4105,597,2112.300
private-material5072-on3,4106,598,1372.500
private-material5072-on3,4107,599,1277.700
private-material5072-on3,4108,600,1353.000
private-material5072-on3,4109,601,1561.400
private-material5072-on3,4110,602,1282.400
private-material5072-on3,4111,603,1323.100
private-material5072-on3,4112,604,1976.200
private-material5072-on3,4113,605,1466.900
private-material5072-on3,4114,606,1271.900
private-material5072-on3,4115,607,1232.700
private-material5072-on3,4116,608,1235.700
private-material5072-on3,4117,609,1261.600
private-material5072-on3,4118,610,1239.900
private-material5072-on3,4119,611,1575.400
private-material5072-on3,4120,612,1704.500
private-material5072-on3,4121,613,1293.000
private-material5072-on3,4122,614,1239.200
private-material5072-on3,4123,615,1570.700
private-material5072-on3,4124,616,1261.300
private-material5072-on3,4125,617,1233.900
private-material5072-on3,4126,618,1330.400
private-material5072-on3,4127,619,1584.200
private-material5072-on3,4128,620,1450.100
private-material5072-on3,4129,621,1231.800
private-material5072-on3,4130,622,1247.300
private-material5072-on3,4131,623,1309.900
private-material5072-on3,4133,624,1354.600
private-material5072-on3,4135,625,1280.600
private-material5072-on3,4137,626,1290.600
private-material5072-on3,4139,627,1325.100
private-material5072-on3,4140,628,1239.100
private-material5072-on3,4141,629,1281.300
private-material5072-on3,4142,630,1423.900
private-material5072-on3,4143,631,1483.500
private-material5072-on3,4144,632,1358.500
private-material5072-on3,4145,633,1247.000
private-material5072-on3,4146,634,1371.300
private-material5072-on3,4147,635,1316.300
private-material5072-on3,4148,636,1943.400
private-material5072-on3,4149,637,1252.500
private-material5072-on3,4150,638,1269.100
private-material5072-on3,4151,639,1244.600
private-material5072-on3,4152,640,1335.200
private-material5072-on3,4153,641,1903.400
private-material5072-on3,4154,642,1307.500
private-material5072-on3,4155,643,1294.200
private-material5072-on3,4156,644,1256.000
private-material5072-on3,4157,645,1345.400
private-material5072-on3,4158,646,1531.700
private-material5072-on3,4159,647,1300.500
private-material5072-on3,4160,648,1252.400
private-material5072-on3,4161,649,1227.700
private-material5072-on3,4162,650,1333.800
private-material5072-on3,4163,651,1806.700
private-material5072-on3,4164,652,1366.300
private-material5072-on3,4165,653,1273.300
private-material5072-on3,4166,654,1507.200
private-material5072-on3,4167,655,1953.600
private-material5072-on3,4168,656,1361.900
private-material5072-on3,4169,657,1377.200
private-material5072-on3,4170,658,1253.200
private-material5072-on3,4171,659,1249.500
private-material5072-on3,4172,660,1292.600
private-material5072-on3,4173,661,1240.700
private-material5072-on3,4174,662,1276.100
private-material5072-on3,4175,663,1536.100
private-material5072-on3,4176,664,1257.800
private-material5072-on3,4177,665,1246.400
private-material5072-on3,4178,666,1443.900
private-material5072-on3,4179,667,1300.400
private-material5072-on3,4180,668,1233.200
private-material5072-on3,4181,669,1245.000
private-material5072-on3,4182,670,1734.300
private-material5072-on3,4183,671,1245.700
private-material5072-on3,4184,672,1309.600
private-material5072-on3,4185,673,1257.300
private-material5072-on3,4186,674,1609.400
private-material5072-on3,4187,675,1241.600
private-material5072-on3,4188,676,1267.300
private-material5072-on3,4189,677,1242.600
private-material5072-on3,4190,678,1564.900
private-material5072-on3,4191,679,1486.100
private-material5072-on3,4192,680,1509.500
private-material5072-on3,4193,681,1607.900
private-material5072-on3,4194,682,1359.300
private-material5072-on3,4195,683,1291.500
private-material5072-on3,4196,684,1559.700
private-material5072-on3,4197,685,1227.700
private-material5072-on3,4198,686,1267.500
private-material5072-on3,4199,687,1235.600
private-material5072-on3,4200,688,1274.500
private-material5072-on3,4201,689,1243.900
private-material5072-on3,4202,690,1259.000
private-material5072-on3,4203,691,1447.000
private-material5072-on3,4205,692,1267.500
private-material5072-on3,4206,693,1298.700
private-material5072-on3,4207,694,1401.200
private-material5072-on3,4208,695,1335.100
private-material5072-on3,4209,696,1271.100
private-material5072-on3,4210,697,1453.500
private-material5072-on3,4211,698,1293.200
private-material5072-on3,4212,699,1245.200
private-material5072-on3,4213,700,1341.300
private-material5072-on3,4214,701,1329.800
private-material5072-on3,4215,702,1308.600
private-material5072-on3,4216,703,1330.900
private-material5072-on3,4217,704,1444.700
private-material5072-on3,4218,705,1235.000
private-material5072-on3,4219,706,1299.800
private-material5072-on3,4220,707,2071.800
private-material5072-on3,4221,708,1392.000
private-material5072-on3,4222,709,1384.300
private-material5072-on3,4223,710,2488.900
private-material5072-on3,4224,711,1245.900
private-material5072-on3,4225,712,1265.100
private-material5072-on3,4226,713,1627.900
private-material5072-on3,4227,714,1308.900
private-material5072-on3,4228,715,1298.400
private-material5072-on3,4229,716,1239.500
private-material5072-on3,4230,717,1459.400
private-material5072-on3,4231,718,1290.500
private-material5072-on3,4232,719,1396.700
private-material5072-on3,4233,720,1715.400
private-material5072-on3,4234,721,1366.900
private-material5072-on3,4235,722,1225.600
private-material5072-on3,4236,723,1716.500
private-material5072-on3,4237,724,1251.700
private-material5072-on3,4238,725,1256.600
private-material5072-on3,4239,726,1333.500
private-material5072-on3,4240,727,1310.500
private-material5072-on3,4242,728,1313.800
private-material5072-on3,4243,729,1242.500
private-material5072-on3,4244,730,1898.500
private-material5072-on3,4245,731,1218.000
private-material5072-on3,4246,732,1462.300
private-material5072-on3,4247,733,1462.300
private-material5072-on3,4248,734,1251.100
private-material5072-on3,4249,735,1257.700
