frame,x,y,z,m0,m1,m2,m3,m4,m5,m6,m7,m8
5924,129cdf56,0e4551e7,1355976a,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5925,129cdf56,0e4551e7,1355976a,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5926,129c7b36,0e4551e7,1355a746,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5927,129c7b36,0e4551e7,1355a746,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5928,129c16f9,0e4551e7,1355b726,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5929,129c16f9,0e4551e7,1355b726,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5930,129bb29f,0e4551e7,1355c70b,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5931,129bb29f,0e4551e7,1355c70b,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5932,129b4e28,0e4551e7,1355d6f4,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5933,129b4e28,0e4551e7,1355d6f4,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5934,129ae995,0e4551e7,1355e6e2,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5935,129ae995,0e4551e7,1355e6e2,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5936,129a84e7,0e4551e7,1355f6d4,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5937,129a84e7,0e4551e7,1355f6d4,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5938,129a201e,0e4551e7,135606ca,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5939,129a201e,0e4551e7,135606ca,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
5940,1299bb3a,0e4551e7,135616c4,fe17a11b,80000000,ff748430,80000000,00000000,80000000,ff8b7bd0,80000000,fe17a11b
