scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2224,3607,108,0,7,7320,fa5171999476382a,1194.600,3.600,9.900,0.200
2225,3608,109,0,7,7320,fa5171999476382a,1209.000,3.600,8.500,0.200
2226,3609,110,0,7,7320,fa5171999476382a,1229.800,3.800,8.300,0.300
2227,3610,111,0,7,7320,fa5171999476382a,1269.800,4.200,9.900,0.100
2228,3611,112,0,7,7320,fa5171999476382a,1391.400,3.800,9.800,0.300
2229,3612,113,0,7,7320,fa5171999476382a,1470.800,6.300,12.900,0.300
2230,3613,114,0,7,7320,fa5171999476382a,1297.700,4.700,8.800,0.300
2231,3614,115,0,7,7320,fa5171999476382a,1299.200,3.800,9.000,0.300
2232,3615,116,0,7,7320,fa5171999476382a,1215.400,3.600,9.800,0.700
2233,3616,117,0,7,7320,fa5171999476382a,1219.900,3.200,8.600,0.200
2234,3617,118,0,7,7320,fa5171999476382a,1228.000,4.600,9.100,0.200
2235,3618,119,0,7,7320,fa5171999476382a,1267.300,4.400,9.300,0.100
2236,3619,120,0,7,7320,fa5171999476382a,1282.600,3.600,8.700,1.100
2237,3620,121,0,7,7320,fa5171999476382a,1214.900,4.000,9.100,0.200
2238,3621,122,0,7,7320,fa5171999476382a,1292.500,4.400,8.700,0.200
2239,3622,123,0,7,7320,fa5171999476382a,1254.100,4.400,8.600,0.200
2240,3623,124,0,7,7320,fa5171999476382a,1253.200,4.300,8.200,0.300
2241,3624,125,0,7,7320,fa5171999476382a,1207.800,3.500,8.200,0.200
2242,3625,126,0,7,7320,fa5171999476382a,1219.400,3.500,8.300,0.100
2243,3626,127,0,7,7320,fa5171999476382a,1210.200,3.800,8.100,0.200
2244,3627,128,0,7,7320,fa5171999476382a,1532.500,4.700,9.300,0.300
2245,3628,129,0,7,7320,fa5171999476382a,1248.800,5.000,9.400,0.300
2246,3629,130,0,7,7320,fa5171999476382a,1397.700,5.400,10.600,0.300
2247,3630,131,0,7,7320,fa5171999476382a,1563.600,5.100,10.500,0.500
2248,3631,132,0,7,7320,fa5171999476382a,1401.600,4.300,10.100,0.200
2249,3632,133,0,7,7320,fa5171999476382a,1421.700,4.900,11.200,0.400
2250,3633,134,0,7,7320,fa5171999476382a,1358.000,6.800,11.100,0.400
2251,3634,135,0,7,7320,fa5171999476382a,1718.600,5.900,10.300,0.300
2252,3635,136,0,7,7320,fa5171999476382a,1437.100,4.300,10.600,0.300
2253,3636,137,0,7,7320,fa5171999476382a,1257.100,4.200,9.900,0.300
2254,3637,138,0,7,7320,fa5171999476382a,1231.500,4.300,9.400,0.300
2255,3638,139,0,7,7320,fa5171999476382a,1226.300,3.500,9.900,0.300
2256,3639,140,0,7,7320,fa5171999476382a,1285.300,3.600,9.000,0.300
2257,3640,141,0,7,7320,fa5171999476382a,1207.200,4.000,8.900,0.300
2258,3641,142,0,7,7320,fa5171999476382a,1226.700,3.600,8.500,0.200
2259,3642,143,0,7,7320,fa5171999476382a,1220.900,4.000,8.200,0.700
2260,3643,144,0,7,7320,fa5171999476382a,1254.800,4.400,8.900,0.600
2261,3644,145,0,7,7320,fa5171999476382a,1245.500,3.500,8.200,0.300
2262,3645,146,0,7,7320,fa5171999476382a,1207.800,4.400,8.900,0.400
2263,3646,147,0,7,7320,fa5171999476382a,1205.300,3.600,9.500,0.100
2264,3647,148,0,7,7320,fa5171999476382a,1196.700,3.500,8.500,0.300
2265,3648,149,0,7,7320,fa5171999476382a,1204.100,3.600,8.300,0.400
2266,3649,150,0,7,7320,fa5171999476382a,1229.200,4.200,7.300,0.300
2267,3650,151,0,7,7320,fa5171999476382a,1274.000,4.800,8.800,0.300
2268,3651,152,0,7,7320,fa5171999476382a,1354.100,3.900,8.200,0.400
2269,3652,153,0,7,7320,fa5171999476382a,1292.000,4.000,9.100,0.300
2270,3653,154,0,7,7320,fa5171999476382a,1324.500,3.400,9.000,0.300
2271,3654,155,0,7,7320,fa5171999476382a,1331.300,3.800,10.000,0.500
2272,3655,156,0,7,7320,fa5171999476382a,1324.900,4.200,9.500,0.200
2273,3656,157,0,7,7320,fa5171999476382a,1228.200,3.600,9.300,0.200
2274,3657,158,0,7,7320,fa5171999476382a,1262.100,5.400,9.300,0.300
2275,3658,159,0,7,7320,fa5171999476382a,1229.500,3.700,9.500,0.200
2276,3659,160,0,7,7320,fa5171999476382a,1817.100,6.000,10.700,0.400
2277,3660,161,0,7,7320,fa5171999476382a,1373.000,5.700,11.500,0.100
2278,3661,162,0,7,7320,fa5171999476382a,1451.400,4.400,11.300,0.200
2279,3662,163,0,7,7320,fa5171999476382a,1529.800,3.700,10.700,0.100
2280,3663,164,0,7,7320,fa5171999476382a,1234.100,3.800,9.100,0.200
2281,3664,165,0,7,7320,fa5171999476382a,1218.100,3.600,9.500,0.700
2282,3665,166,0,7,7320,fa5171999476382a,1222.100,3.800,9.400,0.900
2283,3666,167,0,7,7320,fa5171999476382a,1212.500,3.800,8.800,0.200
2284,3667,168,0,7,7320,fa5171999476382a,1221.700,4.100,8.600,0.300
2285,3668,169,0,7,7320,fa5171999476382a,1386.900,4.100,8.800,0.600
2286,3669,170,0,7,7320,fa5171999476382a,1280.100,4.500,8.900,0.400
2287,3670,171,0,7,7320,fa5171999476382a,1434.800,5.000,10.600,0.400
2288,3671,172,0,7,7320,fa5171999476382a,1255.300,4.400,9.000,0.200
2289,3672,173,0,7,7320,fa5171999476382a,1229.100,3.600,9.800,0.200
2290,3673,174,0,7,7320,fa5171999476382a,1263.700,4.400,8.500,0.400
2291,3674,175,0,7,7320,fa5171999476382a,1294.900,4.300,8.800,0.300
2292,3675,176,0,7,7320,fa5171999476382a,1224.500,3.500,8.700,0.300
2293,3676,177,0,7,7320,fa5171999476382a,1225.200,3.500,9.000,0.300
2294,3677,178,0,7,7320,fa5171999476382a,1307.300,4.300,9.400,0.100
2295,3678,179,0,7,7320,fa5171999476382a,1229.800,5.300,10.300,0.200
2296,3679,180,0,7,7320,fa5171999476382a,1217.200,3.700,9.200,0.300
2297,3680,181,0,7,7320,fa5171999476382a,1221.900,4.000,8.900,0.300
2298,3681,182,0,7,7320,fa5171999476382a,1226.400,3.500,8.900,0.200
2299,3682,183,0,7,7320,fa5171999476382a,1233.600,3.800,7.300,0.200
2300,3683,184,0,7,7320,fa5171999476382a,1225.600,4.400,8.800,0.200
2301,3684,185,0,7,7320,fa5171999476382a,1231.900,4.700,8.400,0.300
2302,3685,186,0,7,7320,fa5171999476382a,1364.500,4.500,8.800,0.300
2303,3686,187,0,7,7320,fa5171999476382a,1233.200,3.900,9.400,0.300
2304,3687,188,0,7,7320,fa5171999476382a,1256.300,3.200,9.700,0.300
2305,3688,189,0,7,7320,fa5171999476382a,1238.000,4.200,11.300,0.300
2306,3689,190,0,7,7320,fa5171999476382a,1270.500,4.500,10.400,0.200
2307,3690,191,0,7,7320,fa5171999476382a,1231.100,4.000,8.800,0.100
2308,3691,192,0,7,7320,fa5171999476382a,1276.300,4.600,9.100,0.200
2309,3692,193,0,7,7320,fa5171999476382a,1221.800,3.500,7.500,0.200
2310,3693,194,0,7,7320,fa5171999476382a,1715.700,4.700,10.100,0.300
2311,3694,195,0,7,7320,fa5171999476382a,1620.700,4.900,11.200,0.200
2312,3695,196,0,7,7320,fa5171999476382a,1397.600,4.600,10.800,0.200
2313,3696,197,0,7,7320,fa5171999476382a,1293.000,3.600,10.300,0.300
2314,3698,198,0,7,7320,fa5171999476382a,1363.200,4.000,10.800,0.400
