run,frame,source_us,assembly_us,hash_us,materials_us,snapshot_us,depth_tests,depth_verified,depth_skipped
written-nogl3,3605,942.000,1377.200,11.600,47.700,0.300,0,0,0
written-nogl3,3606,959.700,1449.600,20.200,50.500,0.500,0,0,0
written-nogl3,3607,958.000,1366.300,22.800,51.100,0.500,0,0,0
written-nogl3,3608,953.200,1354.200,13.600,47.200,0.300,0,0,0
written-nogl3,3609,986.200,1325.800,18.500,45.300,0.400,0,0,0
written-nogl3,3610,988.700,1334.900,12.700,46.600,0.300,0,0,0
written-nogl3,3611,973.300,1331.800,23.500,49.600,0.400,0,0,0
written-nogl3,3612,940.800,1320.700,10.900,53.600,0.500,0,0,0
written-nogl3,3613,982.700,1318.200,22.200,48.600,0.300,0,0,0
written-nogl3,3614,939.900,1319.300,21.900,44.300,0.400,0,0,0
written-nogl3,3615,990.600,1310.200,23.500,48.300,0.800,0,0,0
written-nogl3,3616,954.400,1302.500,21.500,48.600,0.300,0,0,0
written-nogl3,3617,964.800,1341.300,21.300,46.800,0.500,0,0,0
written-nogl3,3618,1001.100,1312.000,20.200,46.600,0.400,0,0,0
written-nogl3,3619,1072.300,1357.700,19.500,49.700,0.400,0,0,0
written-nogl3,3620,1043.400,1343.000,18.700,49.300,0.900,0,0,0
written-nogl3,3621,956.900,1340.100,17.100,97.400,0.300,0,0,0
written-nogl3,3622,1052.700,1287.700,17.900,48.200,0.300,0,0,0
written-nogl3,3623,984.800,1322.200,19.300,51.700,0.300,0,0,0
written-nogl3,3624,980.800,1452.300,19.300,53.700,0.500,0,0,0
written-nogl3,3625,967.800,1333.000,22.600,51.300,0.600,0,0,0
written-nogl3,3626,942.100,1300.500,22.200,52.400,0.400,0,0,0
written-nogl3,3627,1042.000,1412.300,20.800,51.500,0.300,0,0,0
written-nogl3,3628,967.000,1424.500,20.400,47.900,0.500,0,0,0
written-nogl3,3629,963.600,1340.000,20.900,50.600,0.500,0,0,0
written-nogl3,3630,1171.800,1379.200,20.600,49.400,0.200,0,0,0
written-nogl3,3631,1010.300,1346.900,19.500,50.000,0.300,0,0,0
written-nogl3,3632,963.000,1346.600,18.700,54.500,1.000,0,0,0
written-nogl3,3633,994.700,1390.700,21.800,90.000,0.400,0,0,0
written-nogl3,3634,978.400,1304.800,22.800,47.200,0.300,0,0,0
written-nogl3,3635,955.100,1327.000,25.500,50.100,0.800,0,0,0
written-nogl3,3636,996.100,1347.400,28.100,48.700,0.300,0,0,0
written-nogl3,3637,941.600,1517.300,26.200,46.600,0.400,0,0,0
written-nogl3,3638,983.800,1373.800,25.700,62.700,0.600,0,0,0
written-nogl3,3639,942.600,1313.200,23.900,47.400,0.800,0,0,0
written-nogl3,3640,950.100,1314.800,20.800,51.100,0.400,0,0,0
written-nogl3,3641,971.500,1313.200,20.700,48.200,0.400,0,0,0
written-nogl3,3642,956.100,1331.500,21.800,50.400,0.500,0,0,0
written-nogl3,3643,985.100,1295.500,23.700,50.400,0.400,0,0,0
written-nogl3,3644,946.800,1289.100,21.900,47.400,0.300,0,0,0
written-nogl3,3645,961.100,1296.300,21.500,48.100,0.200,0,0,0
written-nogl3,3646,967.000,1336.500,24.400,49.500,1.000,0,0,0
written-nogl3,3647,967.900,1333.900,26.200,56.200,0.400,0,0,0
written-nogl3,3648,992.300,1313.700,25.500,51.000,0.400,0,0,0
written-nogl3,3650,966.100,1330.800,21.900,46.100,0.400,0,0,0
written-nogl3,3651,946.400,1341.600,21.700,50.300,0.500,0,0,0
written-nogl3,3652,1049.800,1356.500,19.300,50.000,0.300,0,0,0
written-nogl3,3653,969.100,1285.900,21.800,46.800,0.400,0,0,0
written-nogl3,3654,944.300,1285.500,21.300,44.200,0.400,0,0,0
written-nogl3,3655,971.800,1290.200,22.900,50.700,0.300,0,0,0
written-nogl3,3656,971.600,1293.600,32.100,56.500,0.700,0,0,0
written-nogl3,3657,983.800,1327.500,22.600,56.200,0.400,0,0,0
written-nogl3,3658,985.900,1335.900,31.000,53.600,0.600,0,0,0
written-nogl3,3659,961.600,1339.900,27.000,50.100,0.400,0,0,0
written-nogl3,3660,948.400,1276.000,25.700,50.000,0.400,0,0,0
written-nogl3,3661,954.600,1270.300,25.500,46.000,0.300,0,0,0
written-nogl3,3662,955.200,1279.100,25.700,45.600,0.300,0,0,0
written-nogl3,3663,950.100,1279.900,31.900,44.800,0.300,0,0,0
written-nogl3,3664,943.000,1286.900,30.700,52.100,0.300,0,0,0
written-nogl3,3665,1065.900,1299.500,29.300,51.400,0.400,0,0,0
written-nogl3,3666,946.300,1269.500,32.100,46.100,0.800,0,0,0
written-nogl3,3667,951.700,1272.100,32.300,47.800,0.200,0,0,0
written-nogl3,3668,939.800,1334.300,32.400,51.500,0.500,0,0,0
written-nogl3,3669,945.200,1332.400,29.400,46.700,0.400,0,0,0
written-nogl3,3670,977.900,1238.600,21.200,48.700,0.300,0,0,0
written-nogl3,3671,961.900,1219.600,19.900,49.500,1.000,0,0,0
written-nogl3,3672,957.300,1183.200,13.500,45.800,0.300,0,0,0
written-nogl3,3673,948.900,1174.100,21.400,45.900,0.400,0,0,0
written-nogl3,3674,958.800,1187.600,12.200,48.100,0.400,0,0,0
written-nogl3,3675,1061.300,1238.300,12.900,49.200,0.500,0,0,0
written-nogl3,3676,1032.600,1259.700,20.400,46.900,0.200,0,0,0
